SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,411 Dorado Ter #42,San Francisco,CA,94112,670000,1,,San Francisco,831,87122,1985,1,806,398,Active,July-29-2021 04:30 PM,July-29-2021 06:30 PM,http://www.redfin.com/CA/San-Francisco/411-Dorado-Ter-94112/unit-42/home/1949954,San Francisco MLS,421579089,N,Y,37.725245,-122.461554
MLS Listing,,Single Family Residential,1555 Bacon St,San Francisco,CA,94134,1349000,4,2.5,San Francisco,2150,2495,1965,1,627,,Active,July-31-2021 02:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1555-Bacon-St-94134/home/1084609,San Francisco MLS,421577913,N,Y,37.7237415,-122.4178964
MLS Listing,,Condo/Co-op,301 Crescent Ct #3117,San Francisco,CA,94134,598888,1,1.0,San Francisco,807,114415,2007,1,742,507,Active,July-31-2021 02:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/301-Crescent-Ct-94134/unit-3117/home/22892122,San Francisco MLS,421576806,N,Y,37.711115,-122.388595
MLS Listing,,Single Family Residential,2275 28th Ave,San Francisco,CA,94116,1198000,3,2.0,San Francisco,1370,3000,1930,1,874,,Active,,,http://www.redfin.com/CA/San-Francisco/2275-28th-Ave-94116/home/1517014,San Francisco MLS,421571267,N,Y,37.744974,-122.4857413
MLS Listing,,Condo/Co-op,3747 Divisadero St,San Francisco,CA,94123,2950000,3,3.0,San Francisco,,2504,1993,2,,,Active,July-29-2021 04:30 PM,July-29-2021 05:30 PM,http://www.redfin.com/CA/San-Francisco/3747-Divisadero-St-94123/home/854281,San Francisco MLS,421576783,N,Y,37.8043017,-122.4440425
MLS Listing,,Single Family Residential,810 Douglass St,San Francisco,CA,94114,2199000,2,2.0,San Francisco,1125,3123,1900,2,1955,,Active,July-29-2021 05:00 PM,July-29-2021 06:30 PM,http://www.redfin.com/CA/San-Francisco/810-Douglass-St-94114/home/1336759,San Francisco MLS,421579067,N,Y,37.750519,-122.438748
MLS Listing,,Condo/Co-op,960 Market St #303,San Francisco,CA,94102,880000,1,1.0,San Francisco,640,,,2,1375,745,Active,,,http://www.redfin.com/CA/San-Francisco/960-Market-St-94102/unit-303/home/175867671,San Francisco MLS,421579028,N,Y,37.7831239,-122.4095552
MLS Listing,,Single Family Residential,129 30th St,San Francisco,CA,94110,1799000,3,2.0,San Francisco,1840,2200,1900,2,978,,Active,July-31-2021 02:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/129-30th-St-94110/home/806264,San Francisco MLS,421578872,N,Y,37.74205,-122.423855
MLS Listing,,Multi-Family (2-4 Unit),70 Onondaga Ave,San Francisco,CA,94112,1100000,4,4.0,San Francisco,2805,3036,1958,2,392,,Active,,,http://www.redfin.com/CA/San-Francisco/70-Onondaga-Ave-94112/home/2037867,San Francisco MLS,421578548,N,Y,37.7220794,-122.439133
MLS Listing,,Condo/Co-op,38 Lusk St #2,San Francisco,CA,94107,1249000,2,2.0,San Francisco,1208,3825,1995,2,1034,360,Active,July-31-2021 10:00 AM,July-31-2021 11:30 AM,http://www.redfin.com/CA/San-Francisco/38-Lusk-St-94107/unit-2/home/12396041,San Francisco MLS,421525370,N,Y,37.7784196,-122.3948033
MLS Listing,,Condo/Co-op,388 Fulton St #601,SAN FRANCISCO,CA,94102,888000,2,1.0,SAN FRANCISCO,708,,2016,2,1254,638,Active,,,http://www.redfin.com/CA/San-Francisco/388-Fulton-St-94102/unit-601/home/112191528,MLSListings,ML81855552,N,Y,37.7790326,-122.4231449
MLS Listing,,Condo/Co-op,5900 3rd St #2415,San Francisco,CA,94124,695000,1,1.0,San Francisco,823,,2010,2,844,450,Active,July-31-2021 11:00 AM,July-31-2021 12:00 PM,http://www.redfin.com/CA/San-Francisco/5900-3rd-St-94124/unit-2415/home/40629166,San Francisco MLS,421578530,N,Y,37.724666,-122.395268
MLS Listing,,Single Family Residential,964 Avalon Ave,San Francisco,CA,94112,899000,2,1.0,San Francisco,,1751,1950,2,,,Active,July-31-2021 01:00 PM,July-31-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/964-Avalon-Ave-94112/home/985175,San Francisco MLS,421578371,N,Y,37.7247792,-122.4239081
MLS Listing,,Townhouse,20 Scott Aly,San Francisco,CA,94107,965000,2,1.0,San Francisco,1092,14872,1997,3,884,226,Active,,,http://www.redfin.com/CA/San-Francisco/20-Scott-Aly-94107/home/2034350,BAREIS,421578651,N,Y,37.7796913,-122.402467
MLS Listing,,Vacant Land,337 Mullen Ave,San Francisco,CA,94110,325000,0,,San Francisco,,2099,,3,,,Active,,,http://www.redfin.com/CA/San-Francisco/337-Mullen-Ave-94110/unit-V/home/110063664,San Francisco MLS,421578658,N,Y,37.746355,-122.405753
MLS Listing,,Condo/Co-op,488 Folsom St #4401,San Francisco,CA,94105,4100000,3,3.0,San Francisco,1934,,2019,3,2120,1847,Active,,,http://www.redfin.com/CA/San-Francisco/488-Folsom-St-94105/unit-4401/home/169571699,San Francisco MLS,421578656,N,Y,37.7878074,-122.3943328
MLS Listing,,Condo/Co-op,1256 York St,San Francisco,CA,94110,1395000,3,1.5,San Francisco,1420,2577,1925,3,982,,Active,July-31-2021 01:00 PM,July-31-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/1256-York-St-94110/home/110052081,San Francisco MLS,421563899,N,Y,37.7519321,-122.4083003
MLS Listing,,Multi-Family (2-4 Unit),847 Castro St,San Francisco,CA,94114,2275000,3,4.0,San Francisco,2224,1950,1910,3,1023,,Active,,,http://www.redfin.com/CA/San-Francisco/847-Castro-St-94114/home/1621707,San Francisco MLS,421576060,N,Y,37.7554384,-122.4341914
MLS Listing,,Condo/Co-op,3131 Pierce St Unit TH101,San Francisco,CA,94123,2495000,2,2.5,San Francisco,1731,,,3,1441,888,Active,August-1-2021 01:00 PM,August-1-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/3131-Pierce-St-94123/unit-TH101/home/175852532,San Francisco MLS,421578560,N,Y,37.7989774,-122.4394952
MLS Listing,,Condo/Co-op,249 Diamond St,San Francisco,CA,94114,1695000,3,1.0,San Francisco,1706,3485,1908,3,994,350,Active,July-29-2021 05:30 PM,July-29-2021 07:00 PM,http://www.redfin.com/CA/San-Francisco/249-Diamond-St-94114/home/676040,San Francisco MLS,421578569,N,Y,37.7583804,-122.4366364
MLS Listing,,Multi-Family (2-4 Unit),208 - 210 Fair Oaks St,San Francisco,CA,94110,4600000,8,6.5,San Francisco,4463,3643,1860,3,1031,,Active,,,http://www.redfin.com/CA/San-Francisco/208-Fair-Oaks-St-94110/home/1292427,San Francisco MLS,421578544,N,Y,37.7531053,-122.4244043
MLS Listing,,Condo/Co-op,88 Townsend St #319,SAN FRANCISCO,CA,94107,1380000,2,2.0,SAN FRANCISCO,1150,,2004,3,1200,725,Active,July-31-2021 01:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/88-Townsend-St-94102/unit-319/home/12401575,MLSListings,ML81855394,N,Y,37.7811985,-122.3906654
MLS Listing,,Multi-Family (5+ Unit),540 Cole St,San Francisco,CA,94117,4200000,0,,San Francisco,6150,4373,1911,3,683,,Active,,,http://www.redfin.com/CA/San-Francisco/540-Cole-St-94117/home/2030812,San Francisco MLS,421574306,N,Y,37.7700002,-122.4500191
MLS Listing,,Multi-Family (5+ Unit),635 Ashbury St,San Francisco,CA,94117,3725000,0,,San Francisco,7900,2500,1905,3,472,,Active,,,http://www.redfin.com/CA/San-Francisco/635-Ashbury-St-94117/home/1899217,San Francisco MLS,421578532,N,Y,37.7694579,-122.4471202
MLS Listing,,Condo/Co-op,3248 Clay St,San Francisco,CA,94115,1749000,2,2.0,San Francisco,1375,2291,1949,3,1272,500,Active,July-29-2021 04:30 PM,July-29-2021 06:00 PM,http://www.redfin.com/CA/San-Francisco/3248-Clay-St-94115/home/1530101,San Francisco MLS,421573964,N,Y,37.7892386,-122.4466478
MLS Listing,,Condo/Co-op,628 Haight St,San Francisco,CA,94117,1695000,3,2.0,San Francisco,1532,3437,1895,3,1106,375,Active,July-31-2021 11:00 AM,July-31-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/628-Haight-St-94117/home/1432224,San Francisco MLS,421578020,N,Y,37.772064,-122.433033
MLS Listing,,Condo/Co-op,1310 Fulton St #309,San Francisco,CA,94117,999000,2,2.0,San Francisco,948,,1989,3,1054,654,Active,July-29-2021 05:00 PM,July-29-2021 06:30 PM,http://www.redfin.com/CA/San-Francisco/1310-Fulton-St-94117/unit-309/home/593908,San Francisco MLS,421578451,N,Y,37.7770163,-122.4384478
MLS Listing,,Single Family Residential,266 Edinburgh St,San Francisco,CA,94112,848000,2,1.0,San Francisco,1073,2495,1922,3,790,,Active,July-31-2021 02:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/266-Edinburgh-St-94112/home/773249,San Francisco MLS,421572458,N,Y,37.7249547,-122.4294829
MLS Listing,,Condo/Co-op,458 11th Ave #458,San Francisco,CA,94118,2150000,7,,San Francisco,4512,3000,2005,3,477,,Active,,,http://www.redfin.com/CA/San-Francisco/458-11th-Ave-94118/unit-458/home/175847907,San Francisco MLS,421578455,N,Y,37.779627,-122.469222
MLS Listing,,Condo/Co-op,458 11th Ave #456,San Francisco,CA,94118,1150000,7,,San Francisco,4512,3000,2005,3,255,,Active,,,http://www.redfin.com/CA/San-Francisco/458-11th-Ave-94118/unit-456/home/175847906,San Francisco MLS,421578442,N,Y,37.779627,-122.469222
MLS Listing,,Condo/Co-op,890 - 898 Green St #890,San Francisco,CA,94133,998000,2,1.5,San Francisco,850,2395,1908,3,1174,397,Active,July-31-2021 01:00 PM,July-31-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/890-Green-St-94133/unit-890/home/175847905,San Francisco MLS,421578315,N,Y,37.7990676,-122.4137426
MLS Listing,,Single Family Residential,424 Avalon Ave,San Francisco,CA,94112,799950,2,1.0,San Francisco,875,1873,1922,4,,,Active,,,http://www.redfin.com/CA/San-Francisco/424-Avalon-Ave-94112/home/1598706,MetroList,421578390,N,Y,37.7259176,-122.428954
MLS Listing,,Single Family Residential,1963 9th Ave,San Francisco,CA,94116,1190000,2,1.0,San Francisco,1240,2996,1926,4,960,,Active,,,http://www.redfin.com/CA/San-Francisco/1963-9th-Ave-94116/home/1644507,BAREIS,421578075,N,Y,37.7516814,-122.4656318
MLS Listing,,Condo/Co-op,791 18th Ave,SAN FRANCISCO,CA,94121,1099000,2,1.0,SAN FRANCISCO,1150,,1920,4,956,290,Active,,,http://www.redfin.com/CA/San-Francisco/791-18th-Ave-94121/home/1338730,MLSListings,ML81855326,N,Y,37.7731571,-122.4768862
